County,State,Country,LastUpdate,Lat,Long,Confirmed,Deaths,Recovered,Date,Population,Confirmed_Change,Deaths_Change,Confirmed_POPPCT,Confirmed_POPADJ_GF,Confirmed_POPADJ_GF_Change,Deaths_POPPCT,Deaths_POPADJ_GF,Deaths_POPADJ_GF_Change
ALL,ALL,Uruguay,2020-03-26T23:48:18,0.0,0.0,217,0,0,03-26-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uruguay,2020-03-25T23:33:04,-32.5228,-55.7658,189,0,0,03-25-2020,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uruguay,2020-03-25T23:33:04,0.0,0.0,189,0,0,03-25-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uruguay,2020-03-24T23:37:15,-32.5228,-55.7658,162,0,0,03-24-2020,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uruguay,2020-03-24T23:37:15,0.0,0.0,162,0,0,03-24-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uruguay,2020-03-23T23:19:21,-32.5228,-55.7658,158,0,0,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Uruguay,2020-03-23T23:19:21,0.0,0.0,158,0,0,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Montserrat,United Kingdom,2020-03-27T23:23:03,16.742498,-62.187366,5,0,0,03-27-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Montserrat,United Kingdom,2020-03-27T23:23:03,0.0,0.0,5,0,0,03-27-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Montserrat,United Kingdom,2020-03-26T23:48:18,16.742498,-62.187366,5,0,0,03-26-2020,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Montserrat,United Kingdom,2020-03-26T23:48:18,0.0,0.0,5,0,0,03-26-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Montserrat,United Kingdom,2020-03-25T23:33:04,16.742498,-62.187366,1,0,0,03-25-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Montserrat,United Kingdom,2020-03-25T23:33:04,0.0,0.0,1,0,0,03-25-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Montserrat,United Kingdom,2020-03-24T23:37:15,16.742498,-62.187366,1,0,0,03-24-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Montserrat,United Kingdom,2020-03-24T23:37:15,0.0,0.0,1,0,0,03-24-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Montserrat,United Kingdom,2020-03-23T23:19:21,16.742498,-62.187366,1,0,0,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Montserrat,United Kingdom,2020-03-23T23:19:21,0.0,0.0,1,0,0,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Isle of Man,United Kingdom,2020-03-27T23:23:03,54.2361,-4.5481,29,0,0,03-27-2020,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,Isle of Man,United Kingdom,2020-03-27T23:23:03,0.0,0.0,29,0,0,03-27-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
